"show_id","type","title","director","casts","country","date_added","release_year","rating","duration","listed_in","description","director_name"
"s407","Movie","Chhota Bheem - Neeli Pahaadi","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2013,"TV-Y7","64 min","Children & Family Movies","Things get spooky when Bheem and his buddies travel to the border of Dholakpur, known for its eerie history and rumored to be haunted.","Rajiv Chilaka"
"s408","Movie","Chhota Bheem & Ganesh","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2009,"TV-Y7","68 min","Children & Family Movies","Bheem and Lord Ganesha join forces to save Dholakpur from fire-spitting dragons, who have also captured Ganesh’s mouse companion!","Rajiv Chilaka"
"s409","Movie","Chhota Bheem & Krishna: Mayanagari","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2011,"TV-Y7","67 min","Children & Family Movies","Young lord Krishna has fallen for demoness Maayandri’s revenge plot against him! Can Bheem rescue him and thwart Maayandri’s other destructive plans?","Rajiv Chilaka"
"s410","Movie","Chhota Bheem & Krishna: Pataliputra- City of the Dead","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak",NULL,"July 22, 2021",2010,"TV-Y7","66 min","Children & Family Movies","Krishna needs Bheem’s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?","Rajiv Chilaka"
"s411","Movie","Chhota Bheem And The Broken Amulet","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil","India","July 22, 2021",2013,"TV-Y7","64 min","Children & Family Movies","When a stranger tries to steal an amulet from the palace, Bheem learns the sad story behind the ornament and heads to Africa to defeat the real villain.","Rajiv Chilaka"
"s412","Movie","Chhota Bheem And The Crown of Valhalla","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2013,"TV-Y7","64 min","Children & Family Movies","To save the kingdom of Valhalla from invasion by Vikings, Bheem is gathering his army of friends, who are ready to put up a formidable fight!","Rajiv Chilaka"
"s413","Movie","Chhota Bheem and the Incan Adventure","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2013,"TV-Y7","65 min","Children & Family Movies","When Dholakpur’s princess is kidnapped, Bheem is off to the land of the Incas to save her, but he’s in for an even bigger challenge upon his arrival.","Rajiv Chilaka"
"s414","Movie","Chhota Bheem and The ShiNobi Secret","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2013,"TV-Y7","64 min","Children & Family Movies","After learning of a samurai village under threat by their own emperor, Bheem sets off for Japan to offer his help.","Rajiv Chilaka"
"s415","Movie","Chhota Bheem Aur Hanuman","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",NULL,"July 22, 2021",2012,"TV-Y7","68 min","Children & Family Movies","When two evil entities kidnap a princess in a plot to build a new kingdom, Bheem takes them on with the help of the courageous monkey god Hanuman.","Rajiv Chilaka"
"s416","Movie","Chhota Bheem aur Krishna","Rajiv Chilaka","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak","India","July 22, 2021",2009,"TV-Y7","68 min","Children & Family Movies","Centuries after the end of a conqueror's rule, he is mysteriously back from the dead. It’s up to Bheem to save Dholakpur from being taken over!","Rajiv Chilaka"
